Cutoff	TPR	TNR	FPR	FNR	PRE	ACC	F1S	HM	MCC
0.62	0.91176471	0.91176471	0.08823529	0.08823529	0.91176471	0.91176471	0.91176471	0.91176471	0.82352941
0.58	0.97058824	0.91176471	0.08823529	0.02941176	0.91666667	0.94117647	0.94285715	0.94025736	0.88388348
0.79	0.82352941	0.97058824	0.02941176	0.17647059	0.96551724	0.89705882	0.88888889	0.89103182	0.8028464
0.98	0.5	1.0	0.0	0.5	1.0	0.75	0.66666667	0.66666667	0.57735027
0.93	0.61764706	1.0	0.0	0.38235294	1.0	0.80882353	0.76363636	0.76363636	0.66843736
0.95	0.58823529	1.0	0.0	0.41176471	1.0	0.79411765	0.74074074	0.74074074	0.64549722
0.77	0.85294118	0.97058824	0.02941176	0.14705882	0.96666667	0.91176471	0.90625	0.90796964	0.82928843
1.0	0.32352941	1.0	0.0	0.67647059	1.0	0.66176471	0.48888889	0.48888889	0.43929769
0.99	0.41176471	1.0	0.0	0.58823529	1.0	0.70588235	0.58333334	0.58333334	0.50917508
0.92	0.70588235	1.0	0.0	0.29411765	1.0	0.85294118	0.8275862	0.8275862	0.73854895
0.59	0.94117647	0.91176471	0.08823529	0.05882353	0.91428571	0.92647059	0.92753623	0.92623716	0.85331034
0.0	1.0	0.0	1.0	0.0	0.5	0.5	0.66666667	0.0	NaN
0.51	1.0	0.91176471	0.08823529	0.0	0.91891892	0.95588235	0.95774648	0.95384616	0.91533482
0.18	1.0	0.79411765	0.20588235	0.0	0.82926829	0.89705882	0.90666667	0.8852459	0.81150267
0.05	1.0	0.52941176	0.47058824	0.0	0.68	0.76470588	0.80952381	0.69230769	0.6
0.11	1.0	0.73529412	0.26470588	0.0	0.79069767	0.86764706	0.88311688	0.84745763	0.76249285
0.86	0.76470588	0.97058824	0.02941176	0.23529412	0.96296296	0.86764706	0.85245901	0.8554337	0.75139136
0.36	1.0	0.88235294	0.11764706	0.0	0.89473684	0.94117647	0.94444444	0.9375	0.88852332
0.7	0.85294118	0.91176471	0.08823529	0.14705882	0.90625	0.88235294	0.87878788	0.88137255	0.76603235
0.22	1.0	0.85294118	0.14705882	0.0	0.87179487	0.92647059	0.93150685	0.92063492	0.8623165
0.03	1.0	0.5	0.5	0.0	0.66666667	0.75	0.8	0.66666667	0.57735027
0.97	0.52941176	1.0	0.0	0.47058824	1.0	0.76470588	0.69230769	0.69230769	0.6
0.02	1.0	0.41176471	0.58823529	0.0	0.62962963	0.70588235	0.77272727	0.58333334	0.50917508
0.89	0.73529412	1.0	0.0	0.26470588	1.0	0.86764706	0.84745763	0.84745763	0.76249285
0.06	1.0	0.55882353	0.44117647	0.0	0.69387755	0.77941176	0.81927711	0.71698113	0.62269985
0.08	1.0	0.70588235	0.29411765	0.0	0.77272727	0.85294118	0.87179487	0.8275862	0.73854895
0.01	1.0	0.38235294	0.61764706	0.0	0.61818182	0.69117647	0.76404495	0.55319149	0.48617243
0.07	1.0	0.61764706	0.38235294	0.0	0.72340426	0.80882353	0.83950618	0.76363636	0.66843736
