Cutoff	Recall (TPR)	Presicion (PRE)
1.0	0.02941176	1.0
1.0	0.05882353	1.0
1.0	0.08823529	1.0
1.0	0.11764706	1.0
1.0	0.14705882	1.0
1.0	0.17647059	1.0
1.0	0.20588235	1.0
1.0	0.23529412	1.0
1.0	0.26470588	1.0
1.0	0.29411765	1.0
1.0	0.32352941	1.0
0.99	0.35294118	1.0
0.99	0.38235294	1.0
0.99	0.41176471	1.0
0.98	0.44117647	1.0
0.98	0.47058824	1.0
0.98	0.5	1.0
0.97	0.52941176	1.0
0.95	0.55882353	1.0
0.95	0.58823529	1.0
0.93	0.61764706	1.0
0.92	0.64705882	1.0
0.92	0.67647059	1.0
0.92	0.70588235	1.0
0.89	0.73529412	1.0
0.86	0.76470588	1.0
0.86	0.76470588	0.96296296
0.79	0.79411765	0.96428571
0.79	0.82352941	0.96551724
0.77	0.85294118	0.96666667
0.7	0.85294118	0.93548387
0.7	0.85294118	0.90625
0.62	0.88235294	0.90909091
0.62	0.91176471	0.91176471
0.59	0.94117647	0.91428571
0.58	0.97058824	0.91666667
0.51	1.0	0.91891892
0.36	1.0	0.89473684
0.22	1.0	0.87179487
0.18	1.0	0.85
0.18	1.0	0.82926829
0.11	1.0	0.80952381
0.11	1.0	0.79069767
0.08	1.0	0.77272727
0.07	1.0	0.75555556
0.07	1.0	0.73913043
0.07	1.0	0.72340426
0.06	1.0	0.70833333
0.06	1.0	0.69387755
0.05	1.0	0.68
0.03	1.0	0.66666667
0.02	1.0	0.65384615
0.02	1.0	0.64150943
0.02	1.0	0.62962963
0.01	1.0	0.61818182
0.0	1.0	0.60714286
0.0	1.0	0.59649123
0.0	1.0	0.5862069
0.0	1.0	0.57627119
0.0	1.0	0.56666667
0.0	1.0	0.55737705
0.0	1.0	0.5483871
0.0	1.0	0.53968254
0.0	1.0	0.53125
0.0	1.0	0.52307692
0.0	1.0	0.51515152
0.0	1.0	0.50746269
0.0	1.0	0.5
